Location_m,Nudibranchs,Seastars,Crabs,Cucumbers,Octopuses,Side
0,0,0,0,0,0,Left
0,0,0,0,0,0,Right
0,0,0,0,0,0,Right
0,0,0,0,0,0,Left
0,0,0,1,0,0,Right
0,1,0,1,0,0,Left
0,0,0,1,0,0,Left
0,0,0,0,0,0,Right
0,0,0,0,0,0,Left
0,0,0,0,0,0,Left
0,0,0,0,0,0,Right
0,0,0,0,0,0,Right
5,0,0,0,0,0,Left
5,0,0,0,0,0,Right
5,0,0,0,0,0,Right
5,0,0,0,0,0,Left
5,0,0,0,0,0,Right
5,0,0,0,0,0,Left
5,0,0,1,0,0,Left
5,0,0,0,0,0,Right
5,0,0,1,0,0,Left
5,0,0,0,0,0,Left
5,0,0,75,0,0,Right
5,0,0,3,0,0,Right
10,0,0,0,0,0,Left
10,0,0,0,0,0,Right
10,0,0,0,0,0,Right
10,0,0,0,0,0,Left
10,0,0,0,0,0,Right
10,0,0,0,0,0,Left
10,0,0,0,0,0,Left
10,0,0,0,0,0,Right
10,1,0,1,0,0,Left
10,0,0,0,0,0,Left
10,0,0,70,0,0,Right
10,0,0,0,0,0,Right
15,0,0,0,0,0,Left
15,0,0,0,0,0,Right
15,0,0,0,0,0,Right
15,0,0,0,0,0,Left
15,0,0,0,0,0,Right
15,0,0,0,0,0,Left
15,0,0,0,0,0,Left
15,0,0,0,0,0,Right
15,0,0,0,0,0,Left
15,0,0,0,0,0,Left
15,0,0,36,0,0,Right
15,0,0,0,0,0,Right
20,0,0,0,0,0,Left
20,0,0,0,0,0,Right
20,0,0,0,0,0,Right
20,0,0,0,0,0,Left
20,0,0,0,0,0,Right
20,0,0,1,0,0,Left
20,0,0,0,0,0,Left
20,0,0,0,0,0,Right
20,0,0,0,0,0,Left
20,0,0,0,0,0,Left
20,0,0,12,0,0,Right
20,0,0,0,0,0,Right
25,0,0,0,0,0,Left
25,0,0,0,0,0,Right
25,0,0,0,0,0,Right
25,0,0,0,0,0,Left
25,0,0,0,0,0,Right
25,0,0,0,0,0,Left
25,0,0,0,0,0,Left
25,0,0,0,0,0,Right
25,0,0,0,0,0,Left
25,0,0,0,0,0,Left
25,0,0,6,0,0,Right
25,0,0,2,0,0,Right
30,0,0,0,0,0,Left
30,0,0,0,0,0,Right
30,0,0,0,0,0,Right
30,0,0,0,0,0,Left
30,0,0,0,0,0,Right
30,0,0,0,0,0,Left
30,0,0,0,0,0,Left
30,0,0,1,0,0,Right
30,0,0,0,0,0,Left
30,0,0,0,0,1,Left
30,0,0,3,0,0,Right
30,0,0,2,0,0,Right
35,0,0,0,0,0,Left
35,0,0,0,0,0,Right
35,0,0,0,0,0,Right
35,0,0,0,0,0,Left
35,0,0,0,0,0,Right
35,0,0,0,0,1,Left
35,0,0,0,0,0,Left
35,0,0,0,0,0,Right
35,NA,NA,NA,NA,NA,Left
35,0,0,0,0,0,Left
35,0,0,0,0,1,Right
35,NA,NA,NA,NA,NA,Right
40,0,0,0,0,0,Left
40,0,0,0,0,0,Right
40,0,0,0,0,0,Right
40,0,1,0,0,0,Left
40,0,0,0,0,0,Right
40,0,0,0,0,0,Left
40,0,0,2,0,0,Left
40,0,0,1,0,0,Right
40,NA,NA,NA,NA,NA,Left
40,0,0,0,0,0,Left
40,0,0,0,0,0,Right
40,NA,NA,NA,NA,NA,Right
45,0,0,0,0,0,Left
45,0,0,0,0,0,Right
45,0,1,0,0,0,Right
45,0,0,0,0,0,Left
45,0,0,0,0,0,Right
45,NA,NA,NA,NA,NA,Left
45,NA,NA,NA,NA,NA,Left
45,NA,NA,NA,NA,NA,Right
45,NA,NA,NA,NA,NA,Left
45,NA,NA,NA,NA,NA,Left
45,0,0,0,0,0,Right
45,NA,NA,NA,NA,NA,Right
