Location_m,Acorn.Barnacles,Goose.Neck.Barnacles,Anemones,Mussels,Side
0,2800,0,240,0,Left
0,2800,0,480,0,Right
0,0,0,0,0,Right
0,0,0,0,0,Left
0,4500,0,0,5,Left
0,13495,0,0,0,Right
0,300,0,0,0,Left
0,342,0,0,0,Right
0,5000,0,0,0,Right
0,1152,0,22,0,Left
0,175,0,0,6,Left
0,400,0,0,1,Right
1,2112,21,40,0,Left
1,2800,0,51,0,Right
1,0,54,0,0,Right
1,0,0,0,0,Left
1,2500,33,2,17,Left
1,200,4,0,7,Right
1,1250,0,0,0,Left
1,0,0,0,0,Right
1,20,0,0,0,Right
1,0,0,0,0,Left
1,150,0,0,0,Left
1,600,0,0,6,Right
2,0,0,0,0,Left
2,0,0,0,1,Right
2,0,0,0,0,Right
2,0,0,0,0,Left
2,2000,0,1,0,Left
2,1200,0,0,0,Right
2,1313,0,0,0,Left
2,1260,0,0,0,Right
2,0,0,0,0,Right
2,0,0,0,0,Left
2,100,0,0,1,Left
2,1000,0,0,3,Right
4,130,10,0,18,Left
4,0,0,0,2,Right
4,0,0,0,0,Right
4,0,0,0,0,Left
4,25,0,1,0,Left
4,200,0,0,0,Right
4,1300,0,7,0,Left
4,320,0,0,0,Right
4,0,0,0,0,Right
4,0,0,0,0,Left
4,70,0,3,38,Left
4,200,3,0,4,Right
6,0,0,0,0,Left
6,0,0,0,0,Right
6,0,0,0,0,Right
6,0,0,0,0,Left
6,10,0,0,0,Left
6,100,0,0,0,Right
6,145,100,0,20,Left
6,270,70,0,28,Right
6,0,0,0,0,Right
6,0,0,1,0,Left
6,250,0,0,10,Left
6,30,0,0,2,Right
10,0,0,0,0,Left
10,0,0,0,0,Right
10,3,0,0,0,Right
10,9,0,0,0,Left
10,0,0,0,0,Left
10,0,0,0,1,Right
10,0,0,0,0,Left
10,0,0,0,0,Right
10,0,0,1,0,Right
10,0,0,0,0,Left
10,270,0,135,0,Left
10,350,0,150,5,Right
15,0,0,0,0,Left
15,0,0,0,0,Right
15,3,0,1,0,Right
15,0,0,0,0,Left
15,0,0,0,0,Left
15,0,0,0,0,Right
15,120,0,1,0,Left
15,20,0,0,0,Right
15,100,0,2,50,Right
15,0,0,0,5,Left
15,250,0,0,5,Left
15,150,0,0,3,Right
20,116,0,0,0,Left
20,0,0,0,0,Right
20,0,0,0,1,Right
20,0,0,0,1,Left
20,0,0,0,0,Left
20,0,0,0,0,Right
20,0,0,0,0,Left
20,0,0,0,0,Right
20,0,0,0,0,Right
20,0,0,3,15,Left
20,0,0,0,1,Left
20,0,0,0,0,Right
30,0,0,0,0,Left
30,0,0,0,0,Right
30,0,0,0,0,Right
30,0,0,0,0,Left
30,0,0,0,0,Left
30,0,0,0,0,Right
30,0,0,0,0,Left
30,0,0,0,0,Right
30,NA,NA,NA,NA,Right
30,NA,NA,NA,NA,Left
30,0,0,0,0,Left
30,0,0,0,0,Right
40,0,0,0,0,Left
40,0,0,0,0,Right
40,1,2,15,0,Right
40,2,0,0,0,Left
40,0,0,0,0,Left
40,0,0,0,0,Right
40,105,0,0,45,Left
40,0,0,0,0,Right
40,NA,NA,NA,NA,Right
40,NA,NA,NA,NA,Left
40,6,0,1,3,Left
40,50,0,1,5,Right
